Group,Text,Highlighted
,"8. 
Operating Handle shall be an integral part of the breaker.  No external tools shall be 
required to rack the breaker",0
,"A. 
Panelboard Label: Manufacturer's name and trademark, voltage, amperage, number of phases, 
and number of poles shall be located on the interior of the panelboard door.",0
,"2. 
Wire and Cable (600 V and less)",0
MC Cable,megacycle per second,1
,"1. 
Section 262726 ""Wiring Devices"" for wall-box dimmers, wall-switch occupancy sensors, 
and manual light switches.",0
,"5. 
Provide coordinating stub-down fittings, couplings, transition adapters, 
supports, mud boxes, threaded adapters, etc. manufactured by ENT conduit 
manufacturer and intended for use in installing ENT in concrete 
embedment.",0
Conductor specifications,aluminum conductors are prohibited.,1
,Page 8,0
,"E. 
Maintain minimum clearances and workspace at equipment according to manufacturer's written 
instructions and NFPA 70.",0
Conduit EMT Type of Metal,"practice EMT, IMC, or RMC for raceways",1
,"B. 
The installation contractor shall furnish training as follows for a minimum of four 
employees of the system user: 
1. 
Training in the receipt, handling and acknowledgment of alarms.",0
Conduit EMT,"Exposed, non Subject to Physical Damage: EMT.",1
,"a. 
4 inches minimum octagon.",0
MC Cable,megahertz,1
Receptacle,"STANDARD-GRADE RECEPTACLES, one hundred twenty five V, 20 A",1
,"C. 
All equipment shall be UL listed and labeled, and in accordance with applicable NEMA 
and ANSI Standards.  Where copper cabling is routed to an area, either in another building, 
or with a separate electrical service, the Technology Contractor shall provide primary 
protective equipment.",0
,"3. 
Acceptable Manufacturers: AFC Cable Systems, Anamet Electrical, Inc., 
and Southwire Company.",0
,"3. 
The length of free conductors at outlets for devices shall comply with NFPA 70, 
Article 300, without pigtails.",0
,"1.2 
SUMMARY",0
Conduit PVC,Embedded in Concrete Slab: Schedule 40 PVC or galvanized rigid blade conduit with U.L. listed concrete-tight fittings.,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Products. 2. ecumenical Electric Company. 3. Siemens Energy & Automation, Inc.",1
,"3. 
Eaton Corporation.",0
Conduit EMT Type of Metal,RNC: case EPC-40-PVC,1
,"I. 
Equip empty conduit with minimum 200 pound test nylon cord of wire, fished 
continuous from outlet to outlet.  Use nylon or hemp pulling ropes in non-ferrous 
conduit.",0
Conductor Solid/ Stranded,"Minimum size of branch circuit wire:  No. 12 AWG.  Use solid conductors for wire 
up through No. 10 AWG; stranded conductors for wire larger than No. 10 AWG;",1
MC Cable/ Conduit,"Flexible Metallic Conduit, , MC Cable: 1. Connectors: U.L. standard 514; steel or malleable iron construction; zinc plate and chromate coated; nylon insulated throat; saddle or squeeze type.",1
Conductor Solid/ Stranded,"Conductors:  Install solid conductor for No. 8 AWG and smaller, and stranded conductors for
No. 6 AWG and larger unless otherwise indicated.",1
,"3. 
No. 10 gauge sheet steel riveted or welded to 1.5 inch by 1.5 inch by 1/4-inch welded 
angle iron framework for boxes with maximum side exceeding 60 inches and more than 
1,500 square inches in area.",0
Conductor specifications,al conductors are prohibited.,1
,"1.2 
DESCRIPTION",0
Conductor specifications,Aluminum music director are prohibited.,1
Conduit,"hold back cables in finished walls, ceilings, and floors unless otherwise indicated",1
Conduit PVC,Embedded in Concrete Slab: Schedule 40 PVC or galvanized rigid steel conduit with U.L. name concrete-tight fittings.,1
,"D. 
Battery Charger: A 10 amp voltage regulated battery charger shall be provided for 
the engine-generator set.  Input AC voltage and DC output voltage shall be as 
required.  Protect both input and output circuits by circuit breakers.  Chargers 
shall be equipped with float, taper and equalize charge settings.  Operational 
monitors shall provide visual output along with individual forms C contacts rated 
at 4 amps, 120 VAV, 30 VDC for remote indication of: 
1. 
Loss of AC power - red light",0
,"2. 
Sealant shall have VOC content of <Insert value> g/L or less when calculated according 
to 40 CFR 59, Subpart D (EPA Method 24).",0
Conductor specifications,"Aluminum Alloy Conductors: 
1. 
General: The contractor may, at his option, substitute aluminum alloy 
conductors in trade sizes No. 6 AWG to 750 kcmil, inclusive, in lieu of",1
Conduit PVC,Coating for accommodation for PVC-Coated Conduit:,1
,"2. 
HVAC and plumbing items and architectural features in paths of conduit groups with 
common supports.",0
,"3. 
Panelboards",0
,"1. 
Number 12 and number 10 shall be solid.",0
Conduit PVC,4. Embedded in Concrete Slab: a. Schedule forty PVC with U.L. listed concrete-tight fittings.,1
Switchgear Manufacturer,1. Eaton. 2. General Electric Company; GE get up and go Management - Electrical Distribution. 3. Siemens Energy. 4. Square D; by Schneider Electric.,1
Conductor specifications,COPPER Conductors with THHN or XHHW-2 insularism,1
Conduit,Provide empty conduit and sales outlet for telecom system as indicated.,1
,"B. 
Switches and Receptacles:  Cooper, Hubbell, Leviton, or Legrand  Pass & Seymour.",0
